Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,28.698912,29.256807,28.604723,29.235069,7750615,29.235069
2010-01-05,29.097416,29.314778,29.0467,29.293043,6796106,29.293043
2010-01-06,29.300288,29.372742,29.148136,29.293043,6209345,29.293043
2010-01-07,29.300285,29.966858,29.039452,29.858177,10266533,29.858177
2010-01-08,29.648071,30.575476,29.55388,30.517515,7158504,30.517515
2010-01-11,30.655187,31.249306,30.647939,30.901527,5366649,30.901527
2010-01-12,30.713117,30.800061,30.329112,30.55372,4730065,30.55372
2010-01-13,30.546494,30.792837,30.314643,30.662422,4298333,30.662422
2010-01-14,30.604453,30.959477,30.51751,30.843552,3598395,30.843552
2010-01-15,30.82183,31.017454,30.582735,30.887039,6009527,30.887039
2010-01-19,30.95225,31.307274,30.778361,31.046438,5475736,31.046438
2010-01-20,30.843546,30.916,30.358105,30.691391,4842718,30.691391
2010-01-21,30.691406,30.800087,29.474185,29.510412,7782607,29.510412
2010-01-22,29.394493,29.764007,28.872824,28.894562,7262347,28.894562
2010-01-25,29.191609,29.466935,29.039457,29.14089,3230017,29.14089
2010-01-26,29.017715,29.314775,28.771372,28.959751,2911463,28.959751
2010-01-27,29.090168,29.256813,28.575747,29.169867,6189101,29.169867
2010-01-28,29.365494,29.408966,28.44533,28.85107,6192352,28.85107
2010-01-29,27.89469,28.380129,27.228115,27.996126,15968834,27.996126
2010-02-01,28.198992,28.561261,28.155521,28.525034,5390984,28.525034
2010-02-02,28.5685,28.691673,28.300423,28.633709,7391258,28.633709
2010-02-03,28.517792,28.648209,28.206242,28.409111,4576400,28.409111
2010-02-04,28.372879,28.372879,27.300563,27.33679,10142028,27.33679
2010-02-05,27.336794,27.467212,26.57603,27.148415,8936409,27.148415
2010-02-08,27.199129,27.199129,26.662971,26.713688,6543213,26.713688
2010-02-09,27.075959,27.706308,26.989015,27.402,7206964,27.402
2010-02-10,27.329542,27.532414,27.075954,27.329542,4193547,27.329542
2010-02-11,27.249841,27.785999,27.017991,27.699053,4640803,27.699053
2010-02-12,27.387511,27.532418,27.046977,27.430983,5981416,27.430983
2010-02-16,27.626605,28.235217,27.590378,28.19899,6264098,28.19899
2010-02-17,28.412952,28.639321,28.288816,28.544394,4948868,28.544394
2010-02-18,28.529783,29.17238,28.464066,29.099358,5571292,29.099358
2010-02-19,29.048238,29.552092,28.872984,29.369534,6097426,29.369534
2010-02-22,29.515587,29.574006,29.208895,29.318428,4267495,29.318428
2010-02-23,29.31841,29.552083,29.055531,29.157763,5456646,29.157763
2010-02-24,29.289202,29.829567,29.245389,29.632408,5058584,29.632408
2010-02-25,29.208889,29.376841,28.836476,29.347631,5920475,29.347631
2010-02-26,29.340326,29.522881,29.143164,29.32572,4680452,29.32572
2010-03-01,29.391432,29.822264,29.391432,29.625105,4768665,29.625105
2010-03-02,29.727351,29.931814,29.595913,29.705446,4247461,29.705446
2010-03-03,29.720052,30.07056,29.720052,29.880703,5817262,29.880703
2010-03-04,29.917206,30.099764,29.756558,30.070555,3880237,30.070555
2010-03-05,30.187391,30.610918,30.107067,30.603617,5769851,30.603617
2010-03-08,30.596317,30.662038,30.267717,30.296926,3686713,30.296926
2010-03-09,30.289615,31.034441,30.238498,30.866491,5812227,30.866491
2010-03-10,30.793474,31.034445,30.742356,30.91761,5031942,30.91761
2010-03-11,30.837272,31.122059,30.64011,31.122059,3701293,31.122059
2010-03-12,31.253508,31.494483,31.005232,31.348438,5826282,31.348438
2010-03-15,31.333832,31.42146,31.107464,31.377647,5144175,31.377647
2010-03-16,31.501777,31.530987,31.143968,31.421453,6705585,31.421453
2010-03-17,31.560207,31.66974,31.136677,31.333836,5372209,31.333836
2010-03-18,31.341138,31.786573,31.246208,31.713551,5204593,31.713551
2010-03-19,31.998339,32.341542,31.837688,31.998339,10167201,31.998339
2010-03-22,31.793878,32.122478,31.698951,31.808481,5005929,31.808481
2010-03-23,31.888821,32.370767,31.830402,32.268536,5810024,32.268536
2010-03-24,32.297719,32.896502,32.166281,32.480274,8224303,32.480274
2010-03-25,32.677438,33.064457,32.348838,32.378048,6320634,32.378048
2010-03-26,32.443777,32.852701,32.385358,32.567917,4673529,32.567917
2010-03-29,32.794289,32.954937,32.677451,32.765079,4531087,32.765079
2010-03-30,32.867306,33.064465,32.531401,32.82349,5118372,32.82349
2010-03-31,33.320035,33.429568,32.933019,33.057156,9356078,33.057156
2010-04-01,33.232432,33.480708,32.655555,32.881924,7034208,32.881924
2010-04-05,33.064463,33.327342,32.918419,33.188602,4409937,33.188602
2010-04-06,33.188606,33.407673,33.115584,33.195908,4159353,33.195908
2010-04-07,33.225109,33.414969,32.918417,33.042557,5237948,33.042557
2010-04-08,33.013347,33.305436,32.867303,33.217808,4413084,33.217808
2010-04-09,33.349234,33.575602,33.130168,33.422256,3953766,33.422256
2010-04-12,33.487989,33.714357,33.436875,33.582916,3393962,33.582916
2010-04-13,33.568306,33.641328,33.239706,33.341938,3911390,33.341938
2010-04-14,33.44418,33.860405,33.422272,33.831196,4800237,33.831196
2010-04-15,33.809297,33.977246,33.663253,33.933434,3505147,33.933434
2010-04-16,33.911514,33.962628,33.093664,33.458775,8246750,33.458775
