Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,43.072576,44.015714,43.019335,43.901627,5277400,43.901627
2010-01-05,43.604994,43.878806,42.798761,43.521328,7882800,43.521328
2010-01-06,43.308366,43.650635,42.973705,43.194279,6015100,43.194279
2010-01-07,42.905254,42.996525,41.566605,42.798771,10371600,42.798771
2010-01-08,42.646648,43.224703,42.319591,43.179066,6576000,43.179066
2010-01-11,43.300752,43.627808,43.064966,43.369205,4062700,43.369205
2010-01-12,43.460481,43.673447,41.695898,42.616219,11268300,42.616219
2010-01-13,42.859613,43.163853,42.562981,42.996521,5056200,42.996521
2010-01-14,42.8596,42.996508,42.524939,42.715088,4668900,42.715088
2010-01-15,42.616233,42.981319,42.327209,42.783566,7240000,42.783566
2010-01-19,42.905255,43.924455,42.775955,43.772335,8570100,43.772335
2010-01-20,43.825564,43.825564,42.905243,43.506115,6625700,43.506115
2010-01-21,43.681051,43.779929,42.829184,43.072575,5833700,43.072575
2010-01-22,43.103008,43.582185,42.996525,43.049767,5967600,43.049767
2010-01-25,43.141034,43.194275,42.251134,42.372829,6719400,42.372829
2010-01-26,42.745537,43.255136,42.365239,43.034565,14880300,43.034565
2010-01-27,42.859608,44.023323,42.859608,43.91684,9695000,43.91684
2010-01-28,44.015733,44.707876,43.77995,44.175461,11638200,44.175461
2010-01-29,44.380808,44.821956,44.236296,44.479687,9465700,44.479687
2010-02-01,44.510119,44.75351,44.396028,44.662239,7079100,44.662239
2010-02-02,44.570964,45.103382,44.426451,45.05014,7660900,45.05014
2010-02-03,44.799136,45.194644,44.768712,44.928436,7082600,44.928436
2010-02-04,44.79913,44.920825,43.604994,43.757111,9534500,43.757111
2010-02-05,43.764729,44.13742,43.080191,43.871212,8409900,43.871212
2010-02-08,43.764729,44.053754,43.125828,43.70388,5947800,43.70388
2010-02-09,44.297146,44.418841,43.125826,43.513729,18732200,43.513729
2010-02-10,43.422449,43.574569,42.874819,43.2323,6019100,43.2323
2010-02-11,43.019346,43.354007,42.768348,42.973709,8491100,42.973709
2010-02-12,42.760735,43.141033,42.608615,42.958488,8008700,42.958488
2010-02-16,43.064963,43.353991,42.745514,43.346386,5245900,43.346386
2010-02-17,43.300754,43.787535,43.163846,43.506115,6831900,43.506115
2010-02-18,43.582189,43.688672,43.430069,43.559372,8120500,43.559372
2010-02-19,43.392045,43.894039,43.315987,43.643044,7131600,43.643044
2010-02-22,43.627822,43.688668,43.201887,43.430065,7176800,43.430065
2010-02-23,43.323587,43.521344,42.859623,42.882442,7703000,42.882442
2010-02-24,43.095412,43.338803,42.859626,43.156261,4887700,43.156261
2010-02-25,42.958502,42.958502,42.426084,42.783566,6592200,42.783566
2010-02-26,42.783558,43.376822,42.669467,43.057373,6351700,43.057373
2010-03-01,43.156251,43.422459,43.141039,43.277946,5638400,43.277946
2010-03-02,43.285552,43.369218,42.95089,43.255127,7219100,43.255127
2010-03-03,43.255127,43.483305,43.103007,43.277946,5655600,43.277946
2010-03-04,43.361607,43.414852,42.874826,43.179066,6127000,43.179066
2010-03-05,43.163847,43.55175,42.753125,43.536541,6529100,43.536541
2010-03-08,43.544159,44.190665,43.50613,43.817974,4409300,43.817974
2010-03-09,43.559366,44.061359,43.551758,43.932056,5095400,43.932056
2010-03-10,44.099389,44.106997,43.734303,43.947269,4620700,43.947269
2010-03-11,43.681059,43.916845,43.414852,43.726696,4346900,43.726696
