Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,6.517375,6.550049,6.485312,6.535086,493729600,6.535086
2010-01-05,6.553102,6.583333,6.511878,6.546384,601904800,6.546384
2010-01-06,6.546382,6.572338,6.435534,6.442253,552160000,6.442253
2010-01-07,6.466073,6.473708,6.383625,6.430346,477131200,6.430346
2010-01-08,6.421795,6.473708,6.383931,6.473096,447610800,6.473096
2010-01-11,6.498136,6.504243,6.365303,6.415994,462229600,6.415994
2010-01-12,6.3879,6.405612,6.303315,6.343012,594459600,6.343012
2010-01-13,6.347593,6.441033,6.23247,6.432483,605892000,6.432483
2010-01-14,6.415994,6.426682,6.382709,6.395229,432894000,6.395229
2010-01-15,6.441033,6.461492,6.286519,6.288351,594067600,6.288351
2010-01-19,6.361639,6.571118,6.328354,6.566537,730007600,6.566537
2010-01-20,6.562569,6.582112,6.397367,6.465464,612152800,6.465464
2010-01-21,6.476151,6.51371,6.327438,6.353699,608154400,6.353699
2010-01-22,6.314308,6.336294,6.020548,6.038564,881767600,6.038564
2010-01-25,6.183917,6.250791,6.113073,6.201017,1065699600,6.201017
2010-01-26,6.288962,6.525924,6.186055,6.288657,1867110000,6.288657
2010-01-27,6.316444,6.430345,6.092918,6.347897,1722568400,6.347897
2010-01-28,6.257815,6.27522,6.067573,6.085589,1173502400,6.085589
2010-01-29,6.14025,6.174451,5.809542,5.864812,1245952400,5.864812
2010-02-01,5.874279,5.985126,5.841605,5.946345,749876400,5.946345
2010-02-02,5.982377,5.994897,5.90512,5.98085,698342400,5.98085
2010-02-03,5.959781,6.113379,5.936878,6.083758,615328000,6.083758
2010-02-04,6.007418,6.057497,5.84985,5.864508,757652000,5.864508
2010-02-05,5.882219,5.985126,5.827863,5.968636,850306800,5.968636
2010-02-08,5.975659,6.042534,5.924052,5.927717,478270800,5.927717
2010-02-09,5.997951,6.03093,5.946955,5.990928,632886800,5.990928
2010-02-10,5.981767,6.003448,5.931993,5.958254,370361600,5.958254
2010-02-11,5.950925,6.099637,5.925885,6.066658,550345600,6.066658
2010-02-12,6.049556,6.15735,5.969857,6.118874,655468800,6.118874
2010-02-16,6.166511,6.21995,6.153686,6.211094,543737600,6.211094
2010-02-17,6.235219,6.238884,6.133533,6.18514,436396800,6.18514
2010-02-18,6.157046,6.226059,6.135365,6.196743,422825200,6.196743
2010-02-19,6.164069,6.204988,6.141167,6.158267,415469600,6.158267
2010-02-22,6.178726,6.183611,6.082536,6.120095,390563600,6.120095
2010-02-23,6.107273,6.147886,5.976272,6.017496,575094800,6.017496
2010-02-24,6.053221,6.151243,6.041311,6.127425,460566400,6.127425
2010-02-25,6.027267,6.194606,6.012304,6.168344,665126000,6.168344
2010-02-26,6.179945,6.265142,6.168342,6.248347,507460800,6.248347
2010-03-01,6.282854,6.397366,6.273693,6.381793,550093600,6.381793
2010-03-02,6.410497,6.43798,6.343622,6.377518,566546400,6.377518
2010-03-03,6.380266,6.408665,6.34973,6.392175,372052800,6.392175
2010-03-04,6.390648,6.440728,6.370799,6.434315,366041200,6.434315
2010-03-05,6.563483,6.708836,6.554017,6.685934,899620400,6.685934
2010-03-08,6.718304,6.720747,6.66456,6.689906,429889600,6.689906
2010-03-09,6.666391,6.870679,6.653566,6.810217,920259200,6.810217
2010-03-10,6.834952,6.885337,6.815714,6.865793,596218000,6.865793
2010-03-11,6.837396,6.885948,6.819379,6.885948,405700400,6.885948
2010-03-12,6.943051,6.954045,6.893583,6.919539,416323600,6.919539
2010-03-15,6.882284,6.885947,6.725632,6.835258,493502800,6.835258
2010-03-16,6.845641,6.870069,6.794645,6.853885,446908000,6.853885
2010-03-17,6.867626,6.914957,6.817852,6.843808,450956800,6.843808
2010-03-18,6.843197,6.870681,6.797699,6.859993,342109600,6.859993
2010-03-19,6.864268,6.878009,6.755558,6.786705,559445600,6.786705
2010-03-22,6.73235,6.901216,6.722578,6.863045,456419600,6.863045
2010-03-23,6.890225,6.986109,6.843198,6.973284,602431200,6.973284
2010-03-24,6.951294,7.029468,6.947324,7.004122,597780400,7.004122
2010-03-25,7.051455,7.052982,6.90885,6.921065,542284400,6.921065
2010-03-26,6.9913,7.082908,6.979085,7.050846,640875200,7.050846
2010-03-29,7.114973,7.141539,7.072833,7.096345,540744400,7.096345
2010-03-30,7.224902,7.251774,7.153141,7.201999,527310000,7.201999
2010-03-31,7.191006,7.225206,7.159553,7.176042,430659600,7.176042
2010-04-01,7.249636,7.289944,7.107337,7.205664,603145200,7.205664
2010-04-05,7.175431,7.283224,7.169018,7.282613,684507600,7.282613
2010-04-06,7.273759,7.336053,7.237115,7.314678,447017200,7.314678
2010-04-07,7.314982,7.387354,7.287804,7.347045,628502000,7.347045
2010-04-08,7.34216,7.37575,7.268873,7.327197,572989200,7.327197
2010-04-09,7.372393,7.38644,7.342773,7.383386,334182800,7.383386
2010-04-12,7.395904,7.422471,7.383995,7.398653,333026400,7.398653
2010-04-13,7.385523,7.414227,7.362619,7.402927,306210800,7.402927
2010-04-14,7.489957,7.506142,7.453009,7.502477,404076400,7.502477
2010-04-15,7.505225,7.604469,7.496981,7.60111,376784800,7.60111
2010-04-16,7.590422,7.668901,7.467667,7.554695,750545600,7.554695
2010-04-19,7.543393,7.569654,7.382772,7.544615,566924400,7.544615
2010-04-20,7.589508,7.611189,7.419115,7.468889,738326400,7.468889
2010-04-21,7.902807,7.947085,7.80906,7.915632,982391200,7.915632
2010-04-22,7.88571,8.145574,7.823415,8.137024,793424800,8.137024
2010-04-23,8.183436,8.311384,8.153206,8.27016,796955600,8.27016
2010-04-26,8.302223,8.319934,8.189543,8.229547,479068800,8.229547
2010-04-27,8.161446,8.178852,7.955327,8.001741,709343600,8.001741
2010-04-28,8.038693,8.061595,7.829825,7.988308,758402400,7.988308
2010-04-29,8.031671,8.244815,8.00083,8.203286,558840800,8.203286
2010-04-30,8.223746,8.262222,7.96999,7.972738,542463600,7.972738
2010-05-03,8.056712,8.180079,8.027396,8.133358,454342000,8.133358
2010-05-04,8.027703,8.039917,7.840209,7.899144,723819600,7.899144
2010-05-05,7.726616,7.882657,7.59531,7.817004,883103200,7.817004
2010-05-06,7.751043,7.886014,6.084369,7.519578,1285860800,7.519578
2010-05-07,7.442015,7.529349,6.877092,7.202304,1676018400,7.202304
2010-05-10,7.64172,7.77608,7.589197,7.755925,984306400,7.755925
2010-05-11,7.690276,7.936094,7.649358,7.833187,848906800,7.833187
2010-05-12,7.916243,8.03503,7.899754,8.003272,654379600,8.003272
2010-05-13,8.037778,8.092133,7.82952,7.889372,599712400,7.889372
2010-05-14,7.791657,7.831965,7.618821,7.750738,759362800,7.750738
2010-05-17,7.777612,7.822806,7.564162,7.762954,762834800,7.762954
2010-05-18,7.847234,7.895176,7.642029,7.706156,782678400,7.706156
2010-05-19,7.618821,7.723256,7.476828,7.583399,1025726800,7.583399
2010-05-20,7.386134,7.446292,7.212993,7.260325,1282915200,7.260325
2010-05-21,7.109475,7.46614,7.064586,7.399571,1223891200,7.399571
2010-05-24,7.551032,7.661573,7.519885,7.535152,754238800,7.535152
2010-05-25,7.308876,7.535151,7.242002,7.488125,1048006400,7.488125
2010-05-26,7.636532,7.699132,7.443236,7.454229,850654000,7.454229
2010-05-27,7.652411,7.752876,7.606912,7.736386,666282400,7.736386
2010-05-28,7.920827,7.921132,7.736386,7.84418,815614800,7.84418
2010-06-01,7.929985,8.120837,7.907693,7.964796,876472800,7.964796
2010-06-02,8.078089,8.086029,7.949531,8.060074,688548000,8.060074
2010-06-03,8.097632,8.108931,7.951974,8.034728,650106800,8.034728
2010-06-04,7.884793,7.997472,7.775474,7.816087,758304400,7.816087
2010-06-07,7.887235,7.913496,7.650883,7.662793,886942000,7.662793
2010-06-08,7.73303,7.750131,7.501259,7.613633,1000770400,7.613633
2010-06-09,7.678977,7.692109,7.404761,7.426441,854630000,7.426441
2010-06-10,7.476521,7.664014,7.395905,7.649662,776356000,7.649662
2010-06-11,7.58004,7.75196,7.553779,7.741272,545759200,7.741272
2010-06-14,7.816085,7.913496,7.756539,7.764784,602960400,7.764784
2010-06-15,7.806313,7.934871,7.802038,7.929986,585074000,7.929986
2010-06-16,7.973045,8.176112,7.958693,8.160844,783678000,8.160844
2010-06-17,8.263138,8.333373,8.229548,8.30192,872855200,8.30192
2010-06-18,8.313524,8.397499,8.288178,8.3691,784621600,8.3691
2010-06-21,8.47964,8.519948,8.206034,8.250007,776490400,8.250007
2010-06-22,8.310776,8.42712,8.290623,8.362383,717262000,8.362383
2010-06-23,8.384675,8.387118,8.180691,8.274438,768457200,8.274438
2010-06-24,8.275354,8.342534,8.186799,8.214282,714277200,8.214282
2010-06-25,8.24665,8.253062,8.116869,8.144047,549942400,8.144047
2010-06-28,8.151068,8.237182,8.077476,8.192904,584948000,8.192904
2010-06-29,8.065259,8.073504,7.765392,7.822495,1133344800,7.822495
2010-06-30,7.838988,7.877464,7.634395,7.68081,739452000,7.68081
2010-07-01,7.765397,7.780665,7.427054,7.587675,1022896000,7.587675
2010-07-02,7.649049,7.662487,7.42644,7.540647,693842800,7.540647
2010-07-06,7.664624,7.71959,7.516828,7.592254,615235600,7.592254
