Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ts_code
2019-03-20,44.40504605557616,45.03639742129525,41.669190137460085,41.921730041503906,2350800,0.0,0,DOW
2019-03-21,42.08167068880502,42.09008729332741,40.57484479301138,41.231449127197266,1764700,0.0,0,DOW
2019-03-22,41.07992486597832,42.04799816551617,40.541172258354024,40.911563873291016,844700,0.0,0,DOW
2019-03-25,40.911567733434666,41.585011767725575,40.40648791893563,41.37456130981445,440900,0.0,0,DOW
2019-03-26,41.2482961148498,41.87964758599546,40.55801876329478,41.12202453613281,504700,0.0,0,DOW
2019-03-27,41.24828616534894,42.74669226784708,41.24828616534894,42.17426681518555,1788600,0.0,0,DOW
2019-03-28,42.84771858007814,42.93189748674083,42.01854318345088,42.805625915527344,585400,0.0,0,DOW
2019-03-29,41.686024595337116,44.17775709729346,41.399811861246256,43.46222686767578,1769000,0.0,0,DOW
2019-04-01,44.02623323049961,45.78559911026832,43.14234198810898,45.03639602661133,19663400,0.0,0,DOW
2019-04-02,46.40011946761204,48.3110101510812,45.70984217188373,47.351356506347656,17414200,0.0,0,DOW
2019-04-03,48.050055822353514,48.15107115505711,46.72842383472531,47.88169479370117,15066200,0.0,0,DOW
2019-04-04,48.15107088493429,50.94585302673834,48.06688876547061,50.26399230957031,13309200,0.0,0,DOW
2019-04-05,49.152808336888796,49.64947154500709,47.368189356539666,48.18473815917969,17000800,0.0,0,DOW
2019-04-08,47.56180199886126,49.15280689706352,47.368187968990945,48.10897445678711,10764600,0.0,0,DOW
2019-04-09,47.81434472093302,48.151066747414916,47.20824956897253,47.36819076538086,9179900,0.0,0,DOW
2019-04-10,47.132492465071365,47.48604774172305,46.383286034187364,46.896785736083984,9081900,0.0,0,DOW
2019-04-11,46.888361631727236,47.31767914347013,46.15599495347449,46.20650100708008,7346100,0.0,0,DOW
2019-04-12,47.0819723677305,49.102297862230536,47.0819723677305,49.07704162597656,9281700,0.0,0,DOW
2019-04-15,49.304329281984934,49.540032749373324,48.22682404681641,48.639305114746094,5727300,0.0,0,DOW
2019-04-16,49.42218471827725,49.65789141454316,48.68981802458258,49.24540710449219,6681600,0.0,0,DOW
2019-04-17,49.62422343364732,49.708402340493556,48.99287199864219,49.09388732910156,6420700,0.0,0,DOW
2019-04-18,49.127560785450164,49.33801126639454,48.445700071151364,48.630897521972656,5178800,0.0,0,DOW
2019-04-22,48.386768272800154,49.16964422301842,48.20157084463955,48.73190689086914,4401700,0.0,0,DOW
2019-04-23,48.22683210336153,48.6898225107418,47.98270877923068,48.521461486816406,5687200,0.0,0,DOW
2019-04-24,48.39518794297994,48.731906743540485,47.027259988356164,47.12406539916992,5431300,0.0,0,DOW
2019-04-25,46.938860810379346,47.12405820972556,46.147568378004905,46.57688903808594,6260500,0.0,0,DOW
2019-04-26,46.55164145201875,46.80418136363167,46.25701209034021,46.509552001953125,4009800,0.0,0,DOW
2019-04-29,46.34119354151813,46.875739541557365,46.1307430683857,46.72000503540039,5935200,0.0,0,DOW
2019-04-30,46.93887932542404,48.1552862013197,46.80419113037682,47.755428314208984,6454100,0.0,0,DOW
2019-05-01,47.83117777637292,48.3867668331047,47.03988524442735,47.250335693359375,7644400,0.0,0,DOW
2019-05-02,46.75367432193465,47.55338670119109,43.79894810584748,44.36295700073242,13932700,0.0,0,DOW
2019-05-03,44.78385927657504,44.91012762794782,43.53799291795875,44.868038177490234,7401700,0.0,0,DOW
2019-05-06,43.89996538523159,45.482550465472166,43.5211539309967,45.002723693847656,6089500,0.0,0,DOW
2019-05-07,44.49764392857943,44.889081896375046,44.320866320212126,44.57340621948242,7330800,0.0,0,DOW
2019-05-08,44.89329845967256,44.948014429073034,44.03466010589095,44.177764892578125,5390700,0.0,0,DOW
2019-05-09,43.99256682027123,44.733353407227895,43.39488822920391,44.556575775146484,4579700,0.0,0,DOW
2019-05-10,44.56498046915316,45.216536726405515,44.186172276297,44.674415588378906,4758100,0.0,0,DOW
2019-05-13,44.00939571492058,44.23668257923544,42.72985663315854,42.889801025390625,4213100,0.0,0,DOW
2019-05-14,43.20969459999556,44.615502281440484,42.79721024143811,44.177764892578125,4204500,0.0,0,DOW
2019-05-15,43.75685744099674,44.889081896375046,43.49589772539331,44.57340621948242,2928700,0.0,0,DOW
2019-05-16,44.859619232560256,45.078486290257864,44.388209062848176,44.59865951538086,3689700,0.0,0,DOW
2019-05-17,44.05990627187612,44.211430852537816,42.64567899317963,42.76353073120117,4440800,0.0,0,DOW
2019-05-20,42.42681269433204,42.54466443445323,42.02274499788931,42.15743637084961,5168400,0.0,0,DOW
2019-05-21,42.325797408572335,43.091836989290385,42.10693033317546,42.62042999267578,4968400,0.0,0,DOW
2019-05-22,42.47731521251704,42.60358675854799,42.06062424856499,42.26686477661133,3019100,0.0,0,DOW
2019-05-23,41.66918597757669,41.97223511666316,40.583260966256425,41.0041618347168,4919200,0.0,0,DOW
2019-05-24,41.57659387883262,41.7323283809464,40.776881459447715,41.41665267944336,2918900,0.0,0,DOW
2019-05-28,41.55975661620873,41.61026588346744,40.49066787671021,40.877899169921875,6613000,0.0,0,DOW
