Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,33.830507,34.070908,33.482336,33.921692,6894300,33.921692
2010-01-05,33.847095,34.178684,33.465764,33.847095,10641200,33.847095
2010-01-06,34.178675,34.543424,34.128936,34.394211,8399400,34.394211
2010-01-07,34.352577,35.168516,34.227691,34.952042,8981700,34.952042
2010-01-08,34.768881,35.368345,34.469152,34.927074,7907700,34.927074
2010-01-11,34.752231,34.935398,34.344261,34.527431,7396000,34.527431
2010-01-12,34.360911,35.260104,34.344258,34.985352,12657300,34.985352
2010-01-13,34.843799,35.168511,34.610676,35.093578,10137200,35.093578
2010-01-14,35.001984,35.584796,34.985332,35.53484,8238400,35.53484
2010-01-15,35.401649,35.668077,34.985355,35.293411,13629000,35.293411
2010-01-19,35.168517,35.842912,35.06028,35.767979,9533800,35.767979
2010-01-20,35.743005,36.009433,35.185169,35.784634,11643000,35.784634
2010-01-21,35.792951,35.884533,34.577371,35.101902,16974300,35.101902
2010-01-22,34.435827,34.544064,31.796522,32.129559,26170800,32.129559
2010-01-25,32.554197,32.712391,31.222057,31.463509,17587600,31.463509
2010-01-26,31.255354,32.662427,31.238702,31.721601,15709900,31.721601
2010-01-27,31.605042,32.33772,31.496808,32.196178,12908300,32.196178
2010-01-28,32.196166,32.196166,30.664208,31.163759,14148600,31.163759
2010-01-29,31.305316,32.279446,31.105496,31.355272,14219900,31.355272
2010-02-01,31.505134,31.896451,31.488482,31.81319,9357100,31.81319
2010-02-02,32.204507,32.612473,32.013012,32.487587,11273000,32.487587
2010-02-03,32.395989,32.395989,31.796525,31.91309,10657500,31.91309
2010-02-04,31.663332,32.121258,31.197085,31.247038,12948000,31.247038
2010-02-05,31.355266,31.613369,30.472721,31.513456,13024000,31.513456
2010-02-08,31.438521,31.530106,30.622585,30.630913,9370300,30.630913
2010-02-09,31.03057,31.505145,30.822423,31.255369,10677400,31.255369
2010-02-10,31.288662,31.671652,30.80576,31.430201,8880300,31.430201
2010-02-11,31.480148,32.03798,31.205392,31.879789,9907800,31.879789
2010-02-12,31.463507,32.087948,31.197079,31.988035,10692600,31.988035
2010-02-16,32.312746,32.995468,32.179532,32.987141,10961400,32.987141
2010-02-17,32.912196,32.953828,32.321059,32.512554,9850000,32.512554
2010-02-18,32.529217,32.695735,32.254464,32.595825,6853400,32.595825
2010-02-19,32.379355,32.620807,32.129579,32.520897,9412300,32.520897
2010-02-22,32.554197,32.670762,32.287769,32.412659,7413000,32.412659
2010-02-23,32.25446,32.25446,31.488478,31.580063,9693800,31.580063
2010-02-24,31.721608,32.221163,31.655003,31.979712,6412300,31.979712
2010-02-25,31.363588,31.746581,30.847385,31.671648,8456500,31.671648
2010-02-26,31.763231,31.904769,31.438519,31.796532,6475500,31.796532
2010-03-01,31.804851,31.871457,31.521772,31.746571,9137700,31.746571
2010-03-02,31.738261,32.420983,31.721609,31.96306,9938400,31.96306
2010-03-03,32.021326,32.429295,31.788202,31.87146,8222000,31.87146
2010-03-04,31.846508,32.470949,31.804879,32.379364,8899100,32.379364
2010-03-05,32.554191,33.511668,32.554191,33.470039,10137000,33.470039
2010-03-08,33.486691,33.5866,32.978811,33.062069,7811600,33.062069
2010-03-09,32.920543,33.253576,32.762349,33.053757,6764600,33.053757
2010-03-10,33.253571,33.253571,32.737368,33.070404,7749400,33.070404
2010-03-11,32.945498,33.4284,32.828936,33.395096,7634600,33.395096
2010-03-12,33.703152,34.136098,33.661523,33.936275,9464400,33.936275
2010-03-15,33.819725,34.111133,33.361802,33.886333,7125300,33.886333
2010-03-16,34.027871,34.161085,33.678186,34.0695,5796900,34.0695
2010-03-17,34.285974,34.394211,33.886332,34.144432,8941900,34.144432
2010-03-18,34.052851,34.186065,33.703162,34.136108,5519500,34.136108
2010-03-19,33.578278,34.369234,33.536646,33.578278,10729300,33.578278
2010-03-22,33.220259,34.335927,33.161978,34.202713,9194400,34.202713
2010-03-23,34.219361,34.44416,33.986237,34.335926,8592000,34.335926
2010-03-24,34.169412,34.519097,34.011218,34.144432,7499900,34.144432
2010-03-25,34.444165,35.20182,34.302627,34.485794,8716200,34.485794
2010-03-26,34.610673,34.777191,34.061165,34.236008,6821600,34.236008
2010-03-29,34.360909,34.70227,34.136109,34.535751,5865400,34.535751
2010-03-30,34.544114,34.694634,34.343421,34.52739,5561300,34.52739
2010-03-31,34.293239,34.786606,34.142722,34.502293,6882700,34.502293
2010-04-01,34.853515,35.037483,34.585925,34.870239,6016300,34.870239
2010-04-05,34.978951,35.689734,34.903691,35.68137,7857100,35.68137
2010-04-06,35.447221,36.074384,35.371962,36.057659,7816500,36.057659
2010-04-07,35.856976,36.266721,35.14619,35.430504,9795100,35.430504
2010-04-08,35.305077,36.659747,35.171282,36.534313,10438100,36.534313
2010-04-09,36.534301,36.868789,36.40887,36.693184,6614200,36.693184
2010-04-12,36.801897,37.278544,36.743362,37.245094,7790800,37.245094
2010-04-13,37.119663,37.67993,37.069492,37.621395,10940400,37.621395
2010-04-14,38.014411,38.992786,37.813721,38.850628,14091700,38.850628
2010-04-15,38.649927,39.034586,38.482683,39.026222,9524200,39.026222
2010-04-16,38.875719,38.976064,36.944057,37.713375,18333300,37.713375
2010-04-19,37.470867,38.290359,37.320348,38.26527,10527600,38.26527
2010-04-20,38.55795,38.708469,38.064582,38.633209,8074900,38.633209
2010-04-21,38.599766,38.783735,38.047863,38.457611,7741700,38.457611
2010-04-22,38.181647,39.394162,37.780264,39.109848,12864900,39.109848
2010-04-23,40.07149,41.133485,39.854075,40.180199,17470200,40.180199
2010-04-26,39.402533,40.11332,39.143308,39.419258,11163600,39.419258
2010-04-27,39.059685,39.711936,38.139848,38.290367,11299500,38.290367
2010-04-28,38.658306,38.775376,38.064592,38.532875,9533700,38.532875
2010-04-29,38.992793,39.979529,38.808824,39.803921,12613700,39.803921
2010-04-30,39.737019,40.163489,38.298726,38.566315,14019700,38.566315
2010-05-03,38.641573,39.611584,38.566313,39.469429,7564200,39.469429
2010-05-04,39.051318,39.134939,38.006047,38.348896,10577700,38.348896
2010-05-05,37.972603,38.624851,36.735002,37.153111,15037800,37.153111
2010-05-06,37.086199,37.746811,33.582453,35.5392,22510800,35.5392
2010-05-07,35.321804,35.823532,33.866785,33.950405,30788700,33.950405
2010-05-10,35.948972,36.208198,35.59776,36.032593,16791900,36.032593
2010-05-11,35.781726,37.019327,35.581033,36.233284,12343200,36.233284
2010-05-12,36.425604,36.969143,36.107841,36.877159,9824700,36.877159
2010-05-13,36.668102,36.84371,35.723179,35.798439,10075400,35.798439
2010-05-14,35.146178,35.213076,33.498833,33.983837,27485400,33.983837
2010-05-17,34.493942,34.90369,33.281427,34.468857,15067500,34.468857
2010-05-18,34.753162,34.903682,32.829862,33.314869,18848000,33.314869
2010-05-19,32.905123,34.100913,32.729518,33.59082,15596900,33.59082
2010-05-20,33.17272,33.925316,32.244522,32.294693,19590900,32.294693
2010-05-21,31.416669,33.49885,31.241064,33.298157,18743300,33.298157
2010-05-24,33.373416,33.448676,32.553924,32.645908,10313800,32.645908
2010-05-25,31.742787,32.612453,31.441749,32.612453,14758200,32.612453
2010-05-26,32.997111,33.164355,31.742786,31.91839,13489100,31.91839
2010-05-27,32.637533,33.799873,32.637533,33.724617,14744100,33.724617
2010-05-28,33.590811,34.042369,33.072358,33.339947,12494000,33.339947
2010-06-01,32.762963,33.699525,32.654254,32.771324,12525800,32.771324
2010-06-02,32.997118,34.284893,32.612459,34.259808,16206600,34.259808
2010-06-03,34.544122,34.594293,33.599196,33.900234,8858400,33.900234
2010-06-04,33.005478,33.306517,31.943482,32.119087,13697400,32.119087
2010-06-07,32.353208,32.654246,31.450096,31.533716,11251100,31.533716
2010-06-08,31.726063,32.21107,31.04873,32.135811,11586000,32.135811
2010-06-09,32.470304,32.813153,31.751157,31.868227,12270200,31.868227
2010-06-10,32.361596,33.549022,32.336507,33.473763,11784300,33.473763
2010-06-11,33.022202,33.615916,32.888408,33.557381,7805300,33.557381
2010-06-14,33.841693,34.017298,33.339961,33.356686,8484900,33.356686
2010-06-15,33.83333,34.820066,33.59919,34.778255,10114800,34.778255
2010-06-16,34.652829,35.547581,34.443775,35.405426,11552200,35.405426
2010-06-17,35.706443,35.731528,34.661172,35.171265,8013300,35.171265
2010-06-18,35.238179,35.338524,34.845156,35.146194,9287500,35.146194
2010-06-21,35.756632,36.074395,35.146194,35.622837,12073600,35.622837
2010-06-22,35.656275,35.890415,34.987302,35.070923,9893800,35.070923
2010-06-23,35.11274,35.522484,34.385229,35.263256,9454100,35.263256
2010-06-24,34.970595,35.405428,34.234723,34.335072,9669400,34.335072
2010-06-25,34.711358,35.68137,34.234715,35.68137,23429700,35.68137
2010-06-28,35.555926,35.739895,34.962213,35.213078,8870400,35.213078
2010-06-29,34.694638,34.736448,33.23962,33.523933,12254700,33.523933
2010-06-30,33.448332,34.103522,33.246736,33.347534,8975500,33.347534
2010-07-01,33.22153,33.666726,32.272343,33.162731,8747200,33.162731
2010-07-02,33.439937,33.507135,32.683946,33.112339,6928100,33.112339
2010-07-06,33.733914,33.876713,32.541132,32.935925,10308600,32.935925
2010-07-07,32.818337,34.624313,32.776338,34.565514,12115800,34.565514
2010-07-08,35.027509,35.430703,34.783912,35.380302,11511600,35.380302
2010-07-09,35.371909,35.791903,35.220711,35.766705,8292400,35.766705
2010-07-12,35.615505,36.085896,35.489505,35.9767,6981200,35.9767
2010-07-13,36.346281,37.320667,36.337879,37.102268,8623100,37.102268
2010-07-14,36.917486,37.102281,36.346294,36.707489,7158100,36.707489
2010-07-15,36.934281,36.959479,35.565099,36.480686,9838400,36.480686
2010-07-16,36.203502,36.262301,34.649525,34.758724,14179100,34.758724
2010-07-19,34.859519,35.145115,33.98593,34.92672,7378200,34.92672
2010-07-20,34.330307,35.455891,34.237908,35.329895,7589600,35.329895
2010-07-21,35.5399,35.825496,34.439514,34.565514,9540600,34.565514
2010-07-22,35.170299,36.531082,35.0779,36.279083,10875300,36.279083
